Shift,Serial,OpenMP,OpenCL
485,  3528.152,  3528.152,  3528.152
486, -4992.109, -4992.109, -4992.111
487,   489.705,   489.705,   489.707
488, -1642.434, -1642.434, -1642.431
489,  -593.004,  -593.004,  -593.002
490,  -983.035,  -983.035,  -983.034
491, -2474.794, -2474.794, -2474.798
492, -7397.817, -7397.817, -7397.813
493,-17440.512,-17440.512,-17440.506
494,-31581.654,-31581.654,-31581.650
495,-18343.035,-18343.035,-18343.035
496,-18460.131,-18460.131,-18460.125
497,-22484.789,-22484.789,-22484.795
498,-32463.156,-32463.156,-32463.150
499,-20879.900,-20879.900,-20879.895
500,-24868.252,-24868.252,-24868.250
501,-14849.878,-14849.878,-14849.875
502,-29143.590,-29143.590,-29143.586
503,-28081.500,-28081.500,-28081.486
504,-27371.686,-27371.686,-27371.686
505,-29216.006,-29216.006,-29216.008
506,-48011.168,-48011.168,-48011.164
507,-38381.449,-38381.449,-38381.449
508,-32759.094,-32759.094,-32759.094
509,-47014.680,-47014.680,-47014.676
510,-25209.361,-25209.361,-25209.354
511,-43290.832,-43290.832,-43290.828
512,-40882.242,-40882.242,-40882.234
513,-60043.234,-60043.234,-60043.223
514,-35788.137,-35788.137,-35788.133
515,-45786.500,-45786.500,-45786.492
516,-41574.738,-41574.738,-41574.742
517,-43474.844,-43474.844,-43474.840
518,-34660.871,-34660.871,-34660.875
519,-46834.223,-46834.223,-46834.223
520,-47169.285,-47169.285,-47169.289
521,-56981.863,-56981.863,-56981.855
522,-60387.668,-60387.668,-60387.680
523,-59774.973,-59774.973,-59774.973
524,-57403.629,-57403.629,-57403.625
525,-51157.547,-51157.547,-51157.547
526,-48395.793,-48395.793,-48395.797
527,-54235.820,-54235.820,-54235.816
528,-64242.340,-64242.340,-64242.344
529,-58565.738,-58565.738,-58565.742
530,-54093.328,-54093.328,-54093.340
531,-62838.898,-62838.898,-62838.902
532,-51311.973,-51311.973,-51311.969
533,-55669.828,-55669.828,-55669.828
534,-58173.375,-58173.375,-58173.383
535,-60170.648,-60170.648,-60170.648
536,-60960.289,-60960.289,-60960.289
537,-49560.844,-49560.844,-49560.840
538,-56180.371,-56180.371,-56180.363
539,-47351.098,-47351.098,-47351.102
540,-59838.922,-59838.922,-59838.922
541,-61318.953,-61318.953,-61318.945
542,-63649.137,-63649.137,-63649.125
543,-66967.906,-66967.906,-66967.906
544,-67024.750,-67024.750,-67024.758
545,-49470.555,-49470.555,-49470.559
546,-58089.355,-58089.355,-58089.363
547,-54942.258,-54942.258,-54942.262
548,-50997.441,-50997.441,-50997.445
549,-64156.676,-64156.676,-64156.680
550,-56895.105,-56895.105,-56895.109
551,-55454.074,-55454.074,-55454.082
552,-66023.523,-66023.523,-66023.516
553,-46902.746,-46902.746,-46902.750
554,-61568.641,-61568.641,-61568.641
555,-54457.641,-54457.641,-54457.652
556,-61327.664,-61327.664,-61327.660
557,-47902.719,-47902.719,-47902.719
558,-55034.805,-55034.805,-55034.805
559,-52768.805,-52768.805,-52768.805
560,-56033.891,-56033.891,-56033.895
561,-37243.852,-37243.852,-37243.855
562,-40968.859,-40968.859,-40968.867
563,-45908.285,-45908.285,-45908.289
564,-51817.566,-51817.566,-51817.562
565,-48924.059,-48924.059,-48924.059
566,-50081.336,-50081.336,-50081.336
567,-45001.094,-45001.094,-45001.094
568,-37528.531,-37528.531,-37528.527
569,-32380.207,-32380.207,-32380.199
570,-36601.191,-36601.191,-36601.188
571,-22559.152,-22559.152,-22559.148
572,-28246.379,-28246.379,-28246.365
573,-36189.246,-36189.246,-36189.234
574,-48147.387,-48147.387,-48147.387
575,-34955.863,-34955.863,-34955.867
576,-26406.889,-26406.889,-26406.881
577,-22010.178,-22010.178,-22010.180
578,-25585.543,-25585.543,-25585.533
579,-16349.272,-16349.272,-16349.265
